i,Hollow,Binary
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,1
12,0,4
13,1,8
14,2,18
15,5,33
16,10,61
17,20,100
18,35,172
19,60,363
20,96,756
21,165,1585
22,330,3329
23,658,6970
24,1315,14568
25,2629,30823
