i,Hollow,Binary
1,1,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,1,0
10,3,0
11,7,0
12,15,1
13,29,2
14,53,4
15,89,11
16,155,22
17,328,49
18,703,114
19,1498,251
20,3191,561
21,6790,1308
22,14361,2949
23,30673,6347
24,64480,13750
