nivel,2nai,tempo,swaps,E,TdivE
13,8192,639,106496,106496,0.006000225361
14,16384,2453,229376,229376,0.01069423131
15,32768,9971,491520,491520,0.02028605143
16,65536,38942,1048576,1048576,0.03713798523
17,131072,154326,2228224,2228224,0.06925964355
18,262144,620732,4718592,4718592,0.1315502591
19,524288,2492810,9961472,9961472,0.2502451445
