logtime,logm,pred
3.13672056715641,5.4192020976691,3.37753357798253
3.46923274250661,5.72013779495616,3.50287624393886
3.68708284460437,6.02056677797614,3.62800785843906
3.84849701809037,6.32139790871118,3.75330697140212
4.01216206797082,6.6226720190718,3.87879058971876
4.10917342142547,6.9236079893438,4.00413336937599
4.19928882808241,7.22478636601522,4.12957711367325
4.2810561045835,7.52586896367209,4.25498096507268
4.35985444675036,7.82680381818188,4.38032328000403
4.43544618636372,8.12778021659458,4.5056828983779
4.50777493971773,8.42883772357926,4.63107629926657
